1,anh.ln224224,anh01,Le Ngoc Anh,03030401,15/2/2004,anh.ln224224@sis.hust.edu.vn,0964632100,20224224,Dien tu 01,67,Dien - Dien tu,Dien tu vien thong,
2,anh.nh224225,anh02,Nguyen Ha Anh,03030402,13/05/2004,anh.nh224225@sis.hust.edu.vn ,0964632101,20224225,Dien tu 01,67,Dien - Dien tu,Dien tu vien thong,12;5;
3,anh.nm224226,anh03,Nguyen Minh Anh,03030403,26/10/2004,anh.nm224226@sis.hust.edu.vn,0964632102,20224226,Dien tu 01,67,Dien - Dien tu,Dien tu vien thong,
4,anh.nn224227,anh04,Nguyen Ngoc Anh,03030404,22/8/2004,Anh.nn224227@sis.hust.edu.vn ,0964632103,20224247,Dien tu 01,67,Dien - Dien tu,Dien tu vien thong,
5,anh.nq224228,anh05,Nguyen Quang Anh,03030405,07/01/2004,anh.nq224228@sis.hust.edu.vn,0964632104,20224228,Dien tu 02,67,Dien - Dien tu,Dien tu vien thong,
6,anh.td224229,anh06,Tran Duy Anh,03030406,1/1/2004,anh.td224229@sis.hust.edu.vn,0964632105,20224229,Dien tu 02,68,Dien - Dien tu,Dien tu vien thong,
7,binh.bq224210,binh01,Bui Quoc Binh,03030407,15/3/2004,binh.bq224210@sis.hust.edu.vn,0962632106,20224210,Dien tu 01,67,Dien - Dien tu,Dien tu vien thong,
8,binh.vt224211,binh02,Vu Thanh Binh,03030408,25/7/2004,binh.vt224211@sis.hust.edu.vn,0964632107,20224210,Dien tu 02,67,Dien - Dien tu,Dien tu vien thong,
9,cong.pv213720,cong,Pham Van Cong,03030409,3/4/2003,cong.pv213720sis.hust.edu.vn,0964632108,20213720,Dien tu 02,66,Dien - Dien tu,Dien tu vien thong,
10,dat.nt213721,dat01,Nguyen Thanh Dat,03030410,1/5/2003,dat.nt21721@sis.hust.edu.vn,0964632109,20213721,Dien tu 02,66,Dien - Dien tu,Dien tu vien thong,
11,dat.pt213722,dat02,Pham Tien Dat,03030411,15/9/2003,dat.pt213722@sis.hust.edu.vn,0964632110,20213722,Dien tu 02,66,Dien - Dien tu,Dien tu vien thong,12;
12,giang.th213723,giang,Trinh Huong Giang,03030412,22/3/2003,giang.th213723@sis.hust.edu.vn,0964632111,20213723,Dien tu 02,66,Dien - Dien tu,Dien tu vien thong,
13,kien.nv213724,kien,Nguyen Van Kien,03030413,12/6/2003,kien.nv213724@sis.hust.edu.vn,0964632112,20213724,Dien tu 01,66,Dien - Dien tu,Dien tu vien thong,1;2;8;9;
14,manh.nd213725,manh, Nguyen Dang Manh,03030414, 22/2/2003,manh.nd213725@sis.hust.edu.vn,0964632113,20213725,Tu dong hoa 01,Dien - Dien tu, Dieu khien tu dong hoa,
15,MAILINH,154,Trinh Thi Mai Linh,03030400,15/4/2004,mailinh153@gmail.com,0964623034,20223716,Dien tu 2,67,Dien - dien tu,Ky thuat y sinh,
